trial, person, eye, t0, x, y
158,0,R,175,1270.8,313.0
158,0,R,299,1358.3,232.9
158,0,X,927,1290.0,310.0
159,0,R,-114,781.4,293.5
159,0,R,202,1559.7,633.3
159,0,R,322,1639.3,644.5
159,0,R,1122,1624.6,640.0
159,0,X,2410,1580.0,710.0
160,0,R,-116,556.0,240.2
160,0,R,212,833.9,819.1
160,0,R,312,812.4,786.0
160,0,X,1112,790.0,835.0
161,0,R,-111,736.4,334.6
161,0,R,153,487.1,391.9
161,0,R,373,461.0,392.3
161,0,R,481,488.6,385.3
161,0,X,1204,450.0,450.0
162,0,R,-57,1016.8,370.6
162,0,R,175,1138.5,566.8
162,0,R,335,1136.1,581.4
162,0,X,548,1080.0,660.0
163,0,R,-111,992.0,273.2
163,0,R,221,389.8,799.5
163,0,R,337,418.1,859.3
163,0,X,1302,395.0,925.0
164,0,R,-109,852.9,427.2
164,0,R,159,1257.3,289.0
164,0,R,275,1337.7,230.5
164,0,R,483,1347.5,210.9
164,0,X,2002,1290.0,310.0
165,0,R,-125,1361.2,219.5
165,0,R,131,636.4,464.3
165,0,R,279,1358.2,1036.5
165,0,R,379,1438.2,989.5
165,0,R,1163,1022.1,270.9
165,0,X,1152,1370.0,1060.0
166,0,R,-124,668.5,208.9
166,0,R,172,301.8,150.3
166,0,R,276,262.2,88.7
166,0,R,448,259.2,62.1
166,0,X,1257,220.0,130.0
167,0,R,-117,968.3,448.0
167,0,R,167,906.9,231.8
167,0,R,255,907.5,164.5
167,0,X,950,870.0,235.0
168,0,R,-123,957.8,508.6
168,0,R,225,1628.4,76.4
168,0,R,349,1688.4,42.1
168,0,X,1096,1630.0,135.0
169,0,R,-112,981.3,377.7
169,0,R,176,1640.6,632.2
169,0,R,316,1626.5,639.3
169,0,R,484,1648.6,636.3
169,0,X,1219,1580.0,710.0
170,0,R,-121,791.2,196.0
170,0,R,199,1671.3,122.7
170,0,R,319,1688.4,65.0
170,0,R,499,1700.1,28.1
170,0,X,1122,1630.0,135.0
171,0,R,-43,1066.5,428.6
171,0,R,201,326.5,147.2
171,0,R,309,261.7,62.0
171,0,X,1252,220.0,130.0
172,0,R,-121,1026.0,422.1
172,0,R,195,1414.4,902.4
172,0,R,319,1432.0,955.6
172,0,X,1218,1370.0,1060.0
173,0,R,-108,858.5,240.4
173,0,R,200,401.9,832.9
173,0,R,344,422.2,876.6
173,0,X,1121,395.0,925.0
174,0,R,-82,1085.2,327.6
174,0,R,198,1129.1,589.7
174,0,X,851,1080.0,660.0
175,0,R,-124,803.6,245.0
175,0,R,224,1363.9,245.8
175,0,R,464,1359.7,226.6
175,0,X,1209,1290.0,310.0
