trial, person, eye, t0, x, y
116,0,X,900,1290.0,310.0
117,0,L,-124,813.4,386.7
117,0,L,184,499.4,871.1
117,0,L,304,433.4,903.4
117,0,X,823,395.0,925.0
118,0,L,-117,826.0,233.1
118,0,L,199,267.9,102.2
118,0,X,726,220.0,130.0
119,0,L,-114,1065.1,575.8
119,0,L,198,1647.1,165.5
119,0,L,306,1699.3,28.2
119,0,X,1177,1630.0,135.0
120,0,L,-113,699.6,551.1
120,0,L,187,854.4,812.9
120,0,L,387,826.0,798.1
120,0,L,799,858.6,213.6
120,0,X,738,790.0,835.0
121,0,L,-119,813.1,162.5
121,0,L,217,467.6,877.3
121,0,L,357,439.0,886.2
121,0,X,980,395.0,925.0
122,0,L,-111,831.3,224.6
122,0,L,181,292.5,169.2
122,0,L,285,282.2,100.0
122,0,L,449,255.7,66.1
122,0,X,1052,220.0,130.0
123,0,L,-121,1128.6,523.7
123,0,L,179,1663.8,651.4
123,0,L,1187,638.6,278.0
123,0,X,1122,1580.0,710.0
124,0,L,-119,403.5,58.7
124,0,L,265,1664.9,86.5
124,0,L,409,1703.1,9.9
124,0,L,1665,1687.2,7.7
124,0,X,2524,1630.0,135.0
125,0,L,-118,827.1,525.0
125,0,L,162,1134.4,595.9
125,0,X,1325,1080.0,660.0
126,0,L,-115,1023.5,203.6
126,0,L,149,912.9,163.8
126,0,X,1304,870.0,235.0
127,0,L,-122,1090.7,406.7
127,0,L,166,478.8,401.3
127,0,X,1307,450.0,450.0
128,0,L,-119,1144.3,857.3
128,0,L,165,1500.0,1011.8
128,0,L,301,1457.8,993.5
128,0,X,1038,1370.0,1060.0
129,0,L,-13,1675.0,-56.1
129,0,L,175,1347.9,195.4
129,0,L,299,1361.7,200.2
129,0,X,1036,1290.0,310.0
130,0,L,-121,911.3,681.7
130,0,L,227,1683.0,660.2
130,0,L,387,1661.2,628.1
130,0,L,971,1633.2,626.2
130,0,L,1075,1650.1,623.5
130,0,X,1666,1580.0,710.0
131,0,L,-109,1016.4,345.8
131,0,L,203,308.9,152.7
131,0,L,323,258.2,59.6
131,0,L,615,250.7,27.2
131,0,L,1403,250.6,40.1
131,0,X,1566,220.0,130.0
132,0,L,-124,1007.4,573.2
132,0,L,156,1131.4,598.7
132,0,L,352,1116.4,593.0
132,0,X,967,1080.0,660.0
133,0,L,-124,902.7,234.5
133,0,L,156,905.3,124.1
133,0,X,759,870.0,235.0
134,0,L,-78,1382.4,624.6
134,0,L,178,533.4,538.0
134,0,L,274,533.5,428.2
134,0,L,366,473.7,381.7
134,0,X,1121,450.0,450.0
135,0,L,-120,1264.9,313.1
135,0,L,184,1692.0,39.5
135,0,L,320,1711.1,3.4
135,0,L,676,1707.2,-3.8
135,0,X,1163,1630.0,135.0
136,0,L,-111,737.7,388.6
136,0,L,169,1135.6,338.5
136,0,L,241,1365.3,199.2
136,0,L,937,1337.9,197.1
136,0,L,1049,1345.8,195.1
136,0,X,1245,1290.0,310.0
137,0,L,-113,653.4,296.3
137,0,L,183,851.5,707.8
137,0,L,319,828.0,778.0
137,0,L,615,837.0,775.8
137,0,L,835,820.7,772.5
137,0,X,1107,790.0,835.0
138,0,L,-118,778.0,210.7
138,0,L,226,1432.5,861.4
138,0,L,346,1457.9,974.5
138,0,X,1502,1370.0,1060.0
139,0,L,-123,951.4,224.8
139,0,L,221,436.5,876.0
139,0,L,341,444.3,866.0
139,0,L,761,415.8,868.6
139,0,L,865,434.1,860.1
139,0,L,1453,790.2,302.3
139,0,X,1417,395.0,925.0
140,0,L,-124,779.5,259.5
140,0,L,180,258.6,50.0
140,0,X,1392,220.0,130.0
141,0,L,-119,987.0,399.3
141,0,L,165,1131.2,590.0
141,0,X,871,1080.0,660.0
142,0,L,-120,924.2,252.9
142,0,L,184,1600.1,568.6
142,0,L,304,1650.0,644.6
142,0,L,508,1651.7,683.0
142,0,X,1716,1580.0,710.0
143,0,L,-109,843.5,252.8
143,0,L,151,912.0,134.8
143,0,X,855,870.0,235.0
144,0,L,-120,920.7,463.0
144,0,L,196,1627.1,135.5
144,0,L,304,1700.9,25.6
144,0,L,448,1712.6,3.8
144,0,L,904,1707.5,1.3
144,0,X,1380,1630.0,135.0
145,0,L,-112,888.1,405.6
145,0,L,200,454.2,862.1
145,0,L,344,446.7,886.7
145,0,L,636,445.1,886.6
145,0,L,768,430.3,918.1
145,0,X,1068,395.0,925.0
146,0,L,121,997.1,389.4
